++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
ASCII Report
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Name: Pyro_PlastSolve-508
Data Name: 
Operator: Xcalibur_System
Date: 2021/03/06
Info: 
Misc: 
Misc (separated): 
Details: 
Scans: 7610
Start RT (min): 4.00155
Stop RT (min): 33.99975
Barcode: 

>>>

Operator: Xcalibur_System
Misc Info: 
Sample Weight: 0.0
Data Name: 
Barcode: 
Detailed Info: 
Sample Group: 
Sample Weight Unit: 
Misc Info Separated: 
Date: 2021/03/06 09:55:40
Short Info: 
Barcode Type: 
------------------------------

NAME: Pyro_PlastSolve-508
TYPE: MSD
------------------------------
Integrated Chromatogram Area: 0.0
Integrated Background Area: 0.0
Integrated Peak Area: 3109257563.41408


PEAK LIST OVERVIEW
------------------------------
[#]	RT (Min)	RI	Start RT (Min)	Stop RT (Min)	Tailing	Width (at 50% peak height by inflection points)	Integrated Area	S/N	Leading	Tailing	Scan #	Purity	Integrator	Detector	Model	Trace ...
[33]	8.02345	999.97375	7.99973	8.11772	0.77813	0.06233	321328.29015	12.8453	1.28513	0.77813	1020	0.5	Trapezoid	First Derivative		123.0 ...
[34]	8.03125	1000.36646	8.00755	8.1414	1.94586	0.03325	7807297.13451	385.79971	0.51391	1.94586	1022	0.5	Trapezoid	First Derivative		118.0 ...
[35]	8.18907	1008.32483	8.12188	8.26772	0.68865	0.04243	667048.35175	27.11464	1.45211	0.68865	1062	0.5	Trapezoid	First Derivative		123.0 ...
[36]	8.40937	1019.4342	8.34637	8.4172	2.03108	0.05058	372575.52002	25.21133	0.49235	2.03108	1118	0.5	Trapezoid	First Derivative		118.0 ...
[37]	8.54323	1026.18481	8.4961	8.55522	2.83971	0.05857	469008.96	38.25829	0.35215	2.83971	1152	0.5	Trapezoid	First Derivative		118.0 ...
[38]	8.54713	1026.38147	8.48412	8.62993	2.35069	0.03813	2808947.55872	118.07735	0.42541	2.35069	1153	0.5	Trapezoid	First Derivative		123.0 ...
[39]	8.59037	1028.56165	8.55912	8.66147	1.3599	0.03565	1555116.24065	76.58701	0.73535	1.3599	1164	0.5	Trapezoid	First Derivative		118.0 ...
[40]	8.72058	1035.1283	8.66537	8.82292	1.32476	0.02678	5094824.74751	309.67816	0.75485	1.32476	1197	0.5	Trapezoid	First Derivative		118.0 ...
[41]	8.85417	1041.86462	8.82292	8.91328	2.08946	0.0323	141795.66296	7.56906	0.47859	2.08946	1231	0.5	Trapezoid	First Derivative		123.0 ...
[42]	8.88985	1043.66406	8.82683	8.9961	1.32303	0.03065	10121298.89942	538.88947	0.75584	1.32303	1240	0.5	Trapezoid	First Derivative		118.0 ...
[43]	9.12188	1055.36511	9.05522	9.256	1.18941	0.02452	3284943.68827	215.9503	0.84075	1.18941	1299	0.5	Trapezoid	First Derivative		123.0 ...
[44]	9.12577	1055.56091	9.03152	9.23255	1.28323	0.02673	5425552.75397	325.95581	0.77928	1.28323	1300	0.5	Trapezoid	First Derivative		118.0 ...
[45]	9.26405	1062.5343	9.23647	9.37813	0.99546	0.03255	565707.19858	26.01519	1.00456	0.99546	1335	0.5	Trapezoid	First Derivative		118.0 ...
[46]	9.41772	1070.28345	9.38203	9.45703	0.69565	0.03287	88104.46943	5.18646	1.4375	0.69565	1374	0.5	Trapezoid	First Derivative		118.0 ...
[47]	9.49245	1074.05212	9.46095	9.50833	1.32428	0.02535	128127.74	11.4489	0.75513	1.32428	1393	0.5	Trapezoid	First Derivative		118.0 ...
[48]	9.51613	1075.24646	9.48463	9.52005	3.37931	0.03528	41388.46	5.68923	0.29592	3.37931	1399	0.5	Trapezoid	First Derivative		123.0 ...
