Sample,Type,PET,IS,Temp,mz105
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,361.64695,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,366.50842,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,371.37281,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,376.27734,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,381.24609,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,386.25597,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,391.2752,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,396.29185,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,401.30987,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,406.32545,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,411.31226,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,416.24278,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,421.12044,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,425.96903,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,430.81652,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,435.69934,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,440.65004,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,445.65561,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,450.67874,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,455.6964,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,460.71241,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,465.73173,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,470.74698,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,475.74559,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,480.72599,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,485.703,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,490.69144,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,495.69828,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,500.72691,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,505.7534,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,510.71921,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,515.58712,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,520.43173,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,525.35742,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,530.38049,1.18E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,535.42333,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,540.42564,1.17E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,545.41013,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,550.41643,1.16E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,555.43331,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,560.40472,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,565.29544,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,570.14017,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,574.9862,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,579.8652,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,584.79729,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,589.78962,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,594.81765,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,599.853,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,604.87772,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,609.8801,1.12E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,614.86117,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,619.84689,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,624.86184,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,629.89508,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,634.91862,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,639.92217,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,644.92432,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,649.94228,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,654.96783,1.15E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,659.9832,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,664.98353,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,669.98082,1.14E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,674.98659,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,680.00422,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,685.03392,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,690.05874,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,695.04323,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,699.96163,1.13E-10
CleanRun af. 4.03% PET in LUFA soil sample,Clean run after,40.3,without,704.8297,1.13E-10
