Date,Pressure
2016-05-06,1.50E-05
2016-05-09,1.47E-05
2016-05-11,1.46E-05
2016-05-14,1.50E-05
2016-05-17,1.52E-05
2016-05-19,1.56E-05
2016-05-21,1.54E-05
2016-07-22,1.02E-05
2016-07-24,1.02E-05
2016-07-28,1.04E-05
2016-07-29,1.06E-05
2016-07-30,1.05E-05
2016-07-31,1.07E-05
2016-08-02,1.02E-05
2016-08-06,1.03E-05
