Sample,Temp,AvgHF
PET Bottle EDEKA Hamburg,170,-0.399766666666667
PET Bottle EDEKA Hamburg,175,-0.4053
PET Bottle EDEKA Hamburg,180,-0.411466666666667
PET Bottle EDEKA Hamburg,185,-0.4181
PET Bottle EDEKA Hamburg,190,-0.4252
PET Bottle EDEKA Hamburg,195,-0.4327
PET Bottle EDEKA Hamburg,200,-0.4405
PET Bottle EDEKA Hamburg,205,-0.447666666666667
PET Bottle EDEKA Hamburg,210,-0.4535
PET Bottle EDEKA Hamburg,215,-0.458833333333333
PET Bottle EDEKA Hamburg,220,-0.466433333333333
PET Bottle EDEKA Hamburg,225,-0.481866666666667
PET Bottle EDEKA Hamburg,230,-0.542766666666667
PET Bottle EDEKA Hamburg,235,-0.6096
PET Bottle EDEKA Hamburg,240,-0.771333333333333
PET Bottle EDEKA Hamburg,245,-1.00016666666667
PET Bottle EDEKA Hamburg,250,-0.725633333333333
PET Bottle EDEKA Hamburg,255,-0.5123
PET Bottle EDEKA Hamburg,260,-0.490933333333333
PET Bottle EDEKA Hamburg,265,-0.482566666666667
PET Bottle EDEKA Hamburg,270,-0.479333333333333
PET Bottle EDEKA Hamburg,275,-0.478633333333333
PET Bottle EDEKA Hamburg,280,-0.4796
PET Bottle EDEKA Hamburg,285,-0.4814
PET Bottle EDEKA Hamburg,290,-0.483066666666667
PET Bottle EDEKA Hamburg,295,-0.483866666666667
PET Bottle EDEKA Hamburg,300,-0.4837
PET Bottle EDEKA Hamburg,305,-0.484233333333333
PET Dust PETKA CZ Brno,-15,-0.18389
PET Dust PETKA CZ Brno,-10,-0.19461
PET Dust PETKA CZ Brno,-5,-0.20284
PET Dust PETKA CZ Brno,0,-0.20863
PET Dust PETKA CZ Brno,5,-0.213053333333333
PET Dust PETKA CZ Brno,10,-0.21683
PET Dust PETKA CZ Brno,15,-0.220706666666667
PET Dust PETKA CZ Brno,20,-0.225443333333333
PET Dust PETKA CZ Brno,25,-0.231553333333333
PET Dust PETKA CZ Brno,30,-0.237823333333333
PET Dust PETKA CZ Brno,35,-0.244396666666667
PET Dust PETKA CZ Brno,40,-0.250833333333333
PET Dust PETKA CZ Brno,45,-0.257523333333333
PET Dust PETKA CZ Brno,50,-0.26448
PET Dust PETKA CZ Brno,55,-0.271466666666667
PET Dust PETKA CZ Brno,60,-0.278466666666667
PET Dust PETKA CZ Brno,65,-0.285066666666667
PET Dust PETKA CZ Brno,70,-0.291
PET Dust PETKA CZ Brno,75,-0.296533333333333
PET Dust PETKA CZ Brno,80,-0.301633333333333
PET Dust PETKA CZ Brno,85,-0.306633333333333
PET Dust PETKA CZ Brno,90,-0.311366666666667
PET Dust PETKA CZ Brno,95,-0.3161
PET Dust PETKA CZ Brno,100,-0.320566666666667
PET Dust PETKA CZ Brno,105,-0.325
PET Dust PETKA CZ Brno,110,-0.3292
PET Dust PETKA CZ Brno,115,-0.3335
PET Dust PETKA CZ Brno,120,-0.338266666666667
PET Dust PETKA CZ Brno,125,-0.3428
PET Dust PETKA CZ Brno,130,-0.347233333333333
PET Dust PETKA CZ Brno,135,-0.351633333333333
PET Dust PETKA CZ Brno,140,-0.356233333333333
PET Dust PETKA CZ Brno,145,-0.3611
PET Dust PETKA CZ Brno,150,-0.366
PET Dust PETKA CZ Brno,155,-0.370866666666667
PET Dust PETKA CZ Brno,160,-0.3757
PET Dust PETKA CZ Brno,165,-0.3807
PET Dust PETKA CZ Brno,170,-0.385566666666667
PET Dust PETKA CZ Brno,175,-0.3902
PET Dust PETKA CZ Brno,180,-0.395
PET Dust PETKA CZ Brno,185,-0.4001
PET Dust PETKA CZ Brno,190,-0.405266666666667
PET Dust PETKA CZ Brno,195,-0.4109
