Sample,PET,Temp,TGA,DTG,mz105
PET in soil,37.1,772.134,93.72918,-0.01274,3.65E-10
PET in soil,37.1,777.134,93.72064,-0.01324,3.64E-10
PET in soil,37.1,782.134,93.70568,-0.01405,3.64E-10
PET in soil,37.1,787.134,93.69286,-0.01324,3.63E-10
PET in soil,37.1,792.134,93.6779,-0.01367,3.62E-10
PET in soil,37.1,797.134,93.66295,-0.01404,3.61E-10
PET in soil,37.1,802.134,93.65227,-0.01238,3.61E-10
PET in soil,37.1,807.134,93.63746,-0.01232,3.60E-10
PET in soil,37.1,812.134,93.62663,-0.01284,3.60E-10
PET in soil,37.1,817.134,93.61594,-0.01324,3.59E-10
PET in soil,37.1,822.134,93.60312,-0.01495,3.59E-10
PET in soil,37.1,827.134,93.5903,-0.01537,3.59E-10
PET in soil,37.1,832.134,93.56512,-0.0158,3.59E-10
PET in soil,37.1,837.134,93.55398,-0.0158,3.59E-10
PET in soil,37.1,842.134,93.53475,-0.01585,3.59E-10
PET in soil,37.1,847.134,93.52194,-0.01495,3.59E-10
PET in soil,37.1,852.134,93.50698,-0.01455,3.59E-10
PET in soil,37.1,857.134,93.49202,-0.01367,3.59E-10
PET in soil,37.1,862.134,93.47707,-0.01204,3.59E-10
PET in soil,37.1,867.134,93.46852,-0.01239,3.59E-10
PET in soil,37.1,872.134,93.45322,-0.01153,3.59E-10
PET in soil,37.1,877.134,93.44709,-0.01114,3.59E-10
PET in soil,37.1,882.134,93.43647,-0.01324,3.59E-10
PET in soil,37.1,887.134,93.41724,-0.01708,3.59E-10
PET in soil,37.1,892.134,93.40646,-0.01564,3.59E-10
PET in soil,37.1,897.134,93.383,-0.01623,3.59E-10
PET in soil,37.1,902.134,93.36169,-0.01708,3.58E-10
PET in soil,37.1,907.134,93.35528,-0.01495,3.58E-10
PET in soil,37.1,912.134,93.34036,-0.01281,3.57E-10
PET in soil,37.1,917.134,93.32323,-0.01402,3.57E-10
PET in soil,37.1,922.134,93.31451,-0.01324,3.56E-10
PET in soil,37.1,927.134,93.2976,-0.01409,3.56E-10
PET in soil,37.1,932.134,93.28264,-0.01503,3.56E-10
PET in soil,37.1,937.134,93.26768,-0.01665,3.55E-10
PET in soil,37.1,942.134,93.25261,-0.01793,3.55E-10
PET in soil,37.1,947.134,93.23352,-0.01879,3.54E-10
PET in soil,37.1,952.134,93.21427,-0.01921,3.54E-10
PET in soil,37.1,957.134,93.18835,-0.01964,3.54E-10
PET in soil,37.1,962.134,93.16733,-0.01879,3.54E-10
PET in soil,37.1,967.134,93.15893,-0.01751,3.54E-10
PET in soil,37.1,972.134,93.13095,-0.0179,3.53E-10
PET in soil,37.1,977.134,93.11599,-0.01793,3.52E-10
PET in soil,37.1,982.134,93.10317,-0.01681,3.51E-10
