Sample Name,Date,Soil,Polymer,Extraction procedure,Rep,Extract,Soil target,Soil mass,Target content,Target weight,Actual weight,Actual content,Interference target,Interference weight,Interference content,Dilution,Extraction Batch No
ZS-1038,2019-07-03,LUFA 2.2,Polyethylene,TCB,2,8.02,4,4.0011,250,1,0.9926,248.081777511184,0.2,0.2072,51.785758916298,1,4
ZS-1039,2019-07-03,LUFA 2.2,Polyethylene,TCB,3,8.02,4,3.9922,250,1,1.0001,250.513501327589,0.2,0.1894,47.4425129001553,1,1
ZS-1040,2019-07-03,Interference blank,Polyethylene,TCB,1,8.02,0,0,0,0,0,,0.2,0.2162,,1,3
ZS-1041,2019-07-03,Interference blank,Polyethylene,TCB,2,8.02,0,0,0,0,0,,0.2,0.2032,,1,2
ZS-1042,2019-07-03,Interference blank,Polyethylene,TCB,3,8.02,0,0,0,0,0,,0.2,0.2003,,1,2
ZS-1043,2019-07-03,Blank,Polyethylene,TCB after MeOH rinse,1,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1044,2019-07-03,Blank,Polyethylene,TCB after MeOH rinse,2,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1045,2019-07-03,Blank,Polyethylene,TCB after MeOH rinse,3,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1046,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,1,8.02,4,4.0055,0,0,0,0,0,0,0,1,5
ZS-1047,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,2,8.02,4,4.0008,0,0,0,0,0,0,0,1,5
ZS-1048,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,3,8.02,4,3.99915,0,0,0,0,0,0,0,1,5
ZS-1049,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,1,8.02,4,4.00001,50,0.2,0.1911,47.7748805627986,0,0,0,1,5
ZS-1050,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,2,8.02,4,3.99925,50,0.2,0.2061,51.5346627492655,0,0,0,1,5
ZS-1051,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,3,8.02,4,4.00154,50,0.2,0.1979,49.4559594556096,0,0,0,1,5
ZS-1052,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,1,8.02,4,3.99962,250,1,0.9941,248.548612118151,0,0,0,1,5
ZS-1053,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,2,8.02,4,3.9951,250,1,0.9965,249.430552426723,0,0,0,1,5
ZS-1054,2019-07-08,RefeSol 06-A,Polyethylene,TCB after MeOH rinse,3,8.02,4,3.9975,250,1,1.0042,251.207004377736,0,0,0,1,5
