Sample Name,Date,Soil,Polymer,Extraction procedure,Rep,Extract,Soil target,Soil mass,Target content,Target weight,Actual weight,Actual content,Interference target,Interference weight,Interference content,Dilution,Extraction Batch No
ZS-1033,2019-07-03,LUFA 2.2,Polystyrene,TCB,3,8.02,4,3.9959,0,0,0,0,0.2,0.2058,51.5027903601191,1,1
ZS-1034,2019-07-03,LUFA 2.2,Polystyrene,TCB,1,8.02,4,4.0091,50,0.2,0.2052,51.1835574068993,0.2,0.196,48.8887780299818,1,4
ZS-1035,2019-07-03,LUFA 2.2,Polystyrene,TCB,2,8.02,4,3.999,50,0.2,0.2036,50.9127281820455,0.2,0.198,49.5123780945236,1,4
ZS-1036,2019-07-03,LUFA 2.2,Polystyrene,TCB,3,8.02,4,3.9931,50,0.2,0.2014,50.4370038316095,0.2,0.2286,57.2487541008239,1,4
ZS-1037,2019-07-03,LUFA 2.2,Polystyrene,TCB,1,8.02,4,4.0069,250,1,1.0041,250.592727544985,0.2,0.1924,48.0171703810926,1,1
ZS-1038,2019-07-03,LUFA 2.2,Polystyrene,TCB,2,8.02,4,4.0011,250,1,1.0084,252.030691559821,0.2,0.2072,51.785758916298,1,4
ZS-1039,2019-07-03,LUFA 2.2,Polystyrene,TCB,3,8.02,4,3.9922,250,1,0.9914,248.334251790992,0.2,0.1894,47.4425129001553,1,1
ZS-1040,2019-07-03,Interference blank,Polystyrene,TCB,1,8.02,0,0,0,0,0,,0.2,0.2162,,1,3
ZS-1041,2019-07-03,Interference blank,Polystyrene,TCB,2,8.02,0,0,0,0,0,,0.2,0.2032,,1,2
ZS-1042,2019-07-03,Interference blank,Polystyrene,TCB,3,8.02,0,0,0,0,0,,0.2,0.2003,,1,2
ZS-1043,2019-07-03,Blank,Polystyrene,TCB after MeOH rinse,1,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1044,2019-07-03,Blank,Polystyrene,TCB after MeOH rinse,2,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1045,2019-07-03,Blank,Polystyrene,TCB after MeOH rinse,3,8.02,0,0,0,0,0,,0,0,,1,5
ZS-1046,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,1,8.02,4,4.0055,0,0,0,0,0,0,0,1,5
ZS-1047,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,2,8.02,4,4.0008,0,0,0,0,0,0,0,1,5
ZS-1048,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,3,8.02,4,3.99915,0,0,0,0,0,0,0,1,5
ZS-1049,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,1,8.02,4,4.00001,50,0.2,0.2068,51.6998707503231,0,0,0,1,5
ZS-1050,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,2,8.02,4,3.99925,50,0.2,0.2064,51.6096768144027,0,0,0,1,5
ZS-1051,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,3,8.02,4,4.00154,50,0.2,0.2102,52.5297760362261,0,0,0,1,5
ZS-1052,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,1,8.02,4,3.99962,250,1,0.9968,249.223676249244,0,0,0,1,5
ZS-1053,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,2,8.02,4,3.9951,250,1,1.005,251.558158744462,0,0,0,1,5
ZS-1054,2019-07-08,RefeSol 06-A,Polystyrene,TCB after MeOH rinse,3,8.02,4,3.9975,250,1,1.0065,251.782363977486,0,0,0,1,5
