Sample Name,Soil,Polymer,Extraction agent,Rep,Extract,Soil mass,Target content,Target weight,Actual weight,Actual content,Dilution
ZS-1407,LUFA 2.2,Polystyrene,TCB/xylene,2,7.76,50.17,2,100,114.4,2.28024715965717,1.02
ZS-1408,LUFA 2.2,Polystyrene,TCB/xylene,3,7.76,50.058,2,100,124.6,2.48911262934995,1.02
ZS-1409,LUFA 2.2,Polystyrene,TCB/xylene,1,7.76,50.081,20,1000,1066.8,21.3014915836345,1.02
ZS-1410,LUFA 2.2,Polystyrene,TCB/xylene,2,7.76,50.01,20,1000,1036.7,20.7298540291942,1.02
ZS-1411,LUFA 2.2,Polystyrene,TCB/xylene,3,7.76,50.346,20,1000,1035.4,20.5656854566401,1.02
ZS-1412,RefeSol 06-A,Polystyrene,TCB/xylene,1,7.76,50.008,0,0,0,0,1.02
ZS-1413,RefeSol 06-A,Polystyrene,TCB/xylene,2,7.76,50,0,0,0,0,1.02
ZS-1414,RefeSol 06-A,Polystyrene,TCB/xylene,3,7.76,50.11,0,0,0,0,1.02
ZS-1415,RefeSol 06-A,Polystyrene,TCB/xylene,1,7.76,50,2,100,99,1.98,1.02
ZS-1416,RefeSol 06-A,Polystyrene,TCB/xylene,2,7.76,50,2,100,117,2.34,1.02
ZS-1417,RefeSol 06-A,Polystyrene,TCB/xylene,3,7.76,50,2,100,134,2.68,1.02
ZS-1418,RefeSol 06-A,Polystyrene,TCB/xylene,1,7.76,50,20,1000,1012,20.24,1.02
ZS-1419,RefeSol 06-A,Polystyrene,TCB/xylene,2,7.76,50,20,1000,1048.7,20.974,1.02
ZS-1420,RefeSol 06-A,Polystyrene,TCB/xylene,3,7.76,50,20,1000,1009.8,20.196,1.02
