++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
ASCII Report
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
Name: Pyro_Plast-015
Data Name: 
Operator: Xcalibur_System
Date: 2019/06/03
Info: 
Misc: 
Misc (separated): 
Details: 
Scans: 7615
Start RT (min): 4.00128
Stop RT (min): 33.99895
Barcode: 

>>>

Operator: Xcalibur_System
Misc Info: 
Sample Weight: 0.0
Data Name: 
Barcode: 
Detailed Info: 
Sample Group: 
Sample Weight Unit: 
Misc Info Separated: 
Date: 2019/06/03 21:38:31
Short Info: 
Barcode Type: 
------------------------------

NAME: Pyro_Plast-015
TYPE: MSD
------------------------------
Integrated Chromatogram Area: 0.0
Integrated Background Area: 0.0
Integrated Peak Area: 141949245.08894


PEAK LIST OVERVIEW
------------------------------
[#]	RT (Min)	RI	Start RT (Min)	Stop RT (Min)	Tailing	Width (at 50% peak height by inflection points)	Integrated Area	S/N	Leading	Tailing	Scan #	Purity	Integrator	Detector	Model	m/z ...
[24]	14.45963	1343.36523	14.41638	14.55833	1.18298	0.03017	3557506.993	200.21346	0.84533	1.18298	2655	1.0	Integrator Trapezoid	Peak Detector First Derivative		69.0 111.0 ...
[25]	14.59792	1351.64075	14.56223	14.63722	1.85695	0.03922	204615.46256	11.12719	0.53852	1.85695	2689	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[26]	14.67238	1356.09717	14.64113	14.71588	1.22222	0.02778	217219.78658	14.58626	0.81818	1.22222	2708	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[27]	14.73932	1360.10278	14.71978	14.78282	1.80562	0.02312	119330.21886	8.61403	0.55383	1.80562	2725	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[28]	14.82995	1365.52661	14.80235	14.85755	1.20906	0.01987	92212.5458	9.16667	0.82709	1.20906	2748	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[29]	14.89297	1369.29785	14.86145	14.95598	1.03546	0.02393	766743.08875	60.0731	0.96575	1.03546	2764	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[30]	15.02292	1377.07458	14.99532	15.06615	1.01003	0.02228	153032.98011	12.71052	0.99007	1.01003	2797	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[31]	15.1763	1386.25378	15.1526	15.2276	1.21949	0.02678	250257.6635	17.34795	0.82001	1.21949	2836	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[32]	15.26302	1391.44324	15.23152	15.31407	1.17223	0.0229	339256.82743	27.54386	0.85307	1.17223	2858	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
[33]	15.44402	1402.40161	15.42422	15.50703	1.52171	0.04087	170360.21325	8.91082	0.65715	1.52171	2904	1.0	Integrator Trapezoid	Peak Detector First Derivative		82.0 95.0 ...
